internship_id,sector,tier,capacity,req_skills,stipend,location_type
I001,Mechanical,Tier2,8,manufacturing;design;cad_modelling;autocad,5000,Office
I002,Mechanical,Tier2,10,autocad;analysis,5000,Office
I003,IT,Tier1,2,ml;sql;networking;python,5000,Remote
I004,Civil,Tier2,6,surveying;construction_management;autocad;design,5000,Office
I005,Civil,Tier2,5,design;analysis;construction_management,5000,Factory
I006,Mechanical,Tier1,4,manufacturing;cad_modelling;analysis;design,5000,Office
I007,Electronics,Tier2,2,manufacturing;design;networking;pcb_design,5000,Factory
I008,Electronics,Tier2,3,networking;manufacturing;python;design,5000,Factory
I009,Mechanical,Tier2,7,design;autocad,5000,Office
I010,Finance,Tier1,3,presentation;sql,5000,Office
I011,Finance,Tier1,5,communication;analysis,5000,Office
I012,Marketing,Tier2,1,writing;excel;seo,5000,Office
I013,Civil,Tier2,10,surveying;analysis;construction_management;design,5000,Office
I014,IT,Tier2,6,backend;python;frontend,5000,Office
I015,Finance,Tier1,9,communication;presentation;excel,5000,Office
I016,Electronics,Tier2,9,manufacturing;python,5000,Factory
I017,Finance,Tier2,5,analysis;presentation,5000,Office
I018,IT,Tier1,9,python;java;backend,5000,Office
I019,Civil,Tier2,10,construction_management;analysis;surveying;autocad,5000,Factory
I020,Finance,Tier2,2,financial_modeling;excel;presentation,5000,Office
I021,Mechanical,Tier2,3,design;manufacturing;autocad;cad_modelling,5000,Factory
I022,Marketing,Tier3,3,writing;seo,5000,Office
I023,IT,Tier2,4,ml;frontend;sql;java,5000,Office
I024,Electronics,Tier3,6,python;pcb_design;design,5000,Office
I025,Civil,Tier3,4,surveying;design,5000,Office
I026,Electronics,Tier2,5,networking;pcb_design;design,5000,Factory
I027,Civil,Tier2,8,autocad;construction_management;analysis,5000,Office
I028,Mechanical,Tier1,5,design;analysis;cad_modelling,5000,Office
I029,Marketing,Tier2,2,design;communication,5000,Office
I030,IT,Tier1,9,python;sql;java;cloud,5000,Remote
I031,Finance,Tier3,2,sql;analysis,5000,Office
I032,Civil,Tier2,6,construction_management;surveying;autocad;design,5000,Factory
I033,Electronics,Tier2,3,python;design;analysis,5000,Factory
I034,Electronics,Tier2,8,design;python;manufacturing,5000,Factory
I035,Finance,Tier2,5,presentation;financial_modeling,5000,Office
I036,IT,Tier1,3,frontend;python,5000,Office
I037,IT,Tier2,2,networking;python;cloud;backend,5000,Remote
I038,Finance,Tier2,7,sql;analysis,5000,Office
I039,Finance,Tier1,5,excel;sql,5000,Office
I040,Marketing,Tier2,6,social_media;design;writing,5000,Remote
I041,Marketing,Tier2,7,communication;design;excel;seo,5000,Remote
I042,Finance,Tier1,9,communication;excel;presentation,5000,Office
I043,Marketing,Tier1,2,presentation;seo;communication;writing,5000,Office
I044,Finance,Tier2,7,sql;presentation;financial_modeling,5000,Office
I045,Finance,Tier1,5,communication;analysis;excel,5000,Office
I046,IT,Tier2,4,cloud;backend;frontend,5000,Remote
I047,Mechanical,Tier1,10,cad_modelling;design;manufacturing,5000,Factory
I048,IT,Tier1,7,ml;java,5000,Remote
I049,Marketing,Tier1,6,writing;seo;design;presentation,5000,Remote
I050,IT,Tier1,2,ml;frontend;networking,5000,Remote
I051,IT,Tier1,9,networking;ml;python,5000,Remote
I052,IT,Tier1,1,cloud;ml;frontend,5000,Office
I053,IT,Tier1,3,backend;sql;cloud,5000,Remote
I054,IT,Tier1,10,networking;sql;frontend;backend,5000,Office
I055,IT,Tier1,10,cloud;ml;backend;python,5000,Remote
I056,IT,Tier1,8,ml;networking;python,5000,Office
I057,IT,Tier1,4,backend;sql;cloud;ml,5000,Remote
I058,IT,Tier1,3,cloud;sql,5000,Remote
I059,Mechanical,Tier3,5,analysis;design;manufacturing;autocad,5000,Factory
I060,Electronics,Tier2,2,design;pcb_design;analysis;python,5000,Factory
